date,product,price,quantity,revenue,category,region,customer_type,discount,payment_method,delivery_days,returned
2024-02-04,Стул офисный Ergo,12490,4,49960,Мебель,Москва,Юридическое лицо,0,Bank Transfer,4,False
2024-02-04,Ноутбук HeroBook Pro,74990,1,74990,Электроника,СПБ,Физическое лицо,0,Credit Card,4,False
2024-02-05,Подставка для ноутбука,1790,24,42960,Аксессуары,Казань,Физическое лицо,0,Debit Card,1,False
2024-02-05,Стол компьютерный,8890,3,26670,Мебель,Екатеринбург,Юридическое лицо,0,Bank Transfer,6,False
2024-02-06,Веб-камера 4K,6790,7,47530,Электроника,Москва,Физическое лицо,0,Credit Card,2,False
2024-02-06,Коврик для мыши XXL,1190,38,45220,Аксессуары,Новосибирск,Физическое лицо,0,Debit Card,1,False
2024-02-07,Мышь Wireless Gamer,2490,18,44820,Электроника,СПБ,Юридическое лицо,0,Bank Transfer,2,False
2024-02-07,Клавиатура Mechanical RGB,5490,11,60390,Электроника,Москва,Физическое лицо,5,Credit Card,3,False
2024-02-08,Монитор 27" 4K,31990,2,63980,Электроника,Казань,Юридическое лицо,0,Bank Transfer,3,False
2024-02-08,Наушники BassX,3790,19,72010,Аксессуары,Екатеринбург,Физическое лицо,0,Credit Card,2,True
2024-02-09,Стул офисный Ergo,12490,8,99920,Мебель,Новосибирск,Физическое лицо,0,Debit Card,4,False
2024-02-09,Ноутбук HeroBook Pro,74990,2,149980,Электроника,Москва,Юридическое лицо,0,Bank Transfer,3,False
2024-02-10,Подставка для ноутбука,1790,30,53700,Аксессуары,СПБ,Физическое лицо,0,Credit Card,1,False
2024-02-10,Стол компьютерный,8890,5,44450,Мебель,Казань,Юридическое лицо,0,Bank Transfer,5,False
2024-02-11,Веб-камера 4K,6790,14,95060,Электроника,Москва,Физическое лицо,10,Debit Card,2,False
2024-02-11,Коврик для мыши XXL,1190,32,38080,Аксессуары,Екатеринбург,Физическое лицо,0,Credit Card,1,False
2024-02-12,Мышь Wireless Gamer,2490,28,69720,Электроника,Новосибирск,Юридическое лицо,0,Bank Transfer,2,False
2024-02-12,Клавиатура Mechanical RGB,5490,9,49410,Электроника,Москва,Физическое лицо,0,Debit Card,3,False
2024-02-13,Монитор 27" 4K,31990,4,127960,Электроника,СПБ,Юридическое лицо,0,Bank Transfer,3,False
2024-02-13,Наушники BassX,3790,24,90960,Аксессуары,Казань,Физическое лицо,0,Credit Card,2,False
2024-02-14,Стул офисный Ergo,12490,6,74940,Мебель,Москва,Физическое лицо,5,Debit Card,4,False
2024-02-15,Ноутбук HeroBook Pro,74990,3,224970,Электроника,Екатеринбург,Юридическое лицо,0,Bank Transfer,3,False
2024-02-15,Подставка для ноутбука,1790,17,30430,Аксессуары,Новосибирск,Физическое лицо,0,Credit Card,1,False
2024-02-16,Стол компьютерный,8890,8,71120,Мебель,Москва,Физическое лицо,0,Debit Card,5,False
2024-02-16,Веб-камера 4K,6790,9,61110,Электроника,СПБ,Юридическое лицо,0,Bank Transfer,2,False
2024-02-17,Коврик для мыши XXL,1190,42,49980,Аксессуары,Казань,Физическое лицо,0,Credit Card,1,False
2024-02-17,Мышь Wireless Gamer,2490,16,39840,Электроника,Москва,Физическое лицо,0,Debit Card,2,False
2024-02-18,Клавиатура Mechanical RGB,5490,14,76860,Электроника,Екатеринбург,Юридическое лицо,0,Bank Transfer,3,False
2024-02-18,Монитор 27" 4K,31990,2,63980,Электроника,Новосибирск,Физическое лицо,0,Credit Card,3,False
2024-02-19,Наушники BassX,3790,21,79590,Аксессуары,Москва,Физическое лицо,10,Debit Card,2,True
2024-02-19,Стул офисный Ergo,12490,5,62450,Мебель,СПБ,Юридическое лицо,0,Bank Transfer,4,False
2024-02-20,Ноутбук HeroBook Pro,74990,4,299960,Электроника,Казань,Физическое лицо,0,Credit Card,4,False
2024-02-20,Подставка для ноутбука,1790,26,46540,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-02-21,Стол компьютерный,8890,3,26670,Мебель,Екатеринбург,Юридическое лицо,0,Bank Transfer,5,False
2024-02-21,Веб-камера 4K,6790,13,88270,Электроника,Новосибирск,Физическое лицо,0,Credit Card,2,False
2024-02-22,Коврик для мыши XXL,1190,48,57120,Аксессуары,Москва,Физическое лицо,0,Debit Card,1,False
2024-02-22,Мышь Wireless Gamer,2490,20,49800,Электроника,СПБ,Юридическое лицо,0,Bank Transfer,2,False
2024-02-23,Клавиатура Mechanical RGB,5490,13,71370,Электроника,Казань,Физическое лицо,5,Credit Card,3,False
2024-02-23,Монитор 27" 4K,31990,3,95970,Электроника,Москва,Юридическое лицо,0,Bank Transfer,3,False
2024-02-24,Наушники BassX,3790,27,102330,Аксессуары,Екатеринбург,Физическое лицо,0,Debit Card,2,False
2024-02-24,Стул офисный Ergo,12490,7,87430,Мебель,Новосибирск,Юридическое лицо,0,Credit Card,4,False
2024-02-25,Ноутбук HeroBook Pro,74990,2,149980,Электроника,Москва,Физическое лицо,0,Debit Card,4,False
2024-02-25,Подставка для ноутбука,1790,19,34010,Аксессуары,СПБ,Физическое лицо,0,Credit Card,1,False
2024-02-26,Стол компьютерный,8890,6,53340,Мебель,Казань,Юридическое лицо,0,Bank Transfer,6,False
2024-02-26,Веб-камера 4K,6790,8,54320,Электроника,Екатеринбург,Физическое лицо,0,Debit Card,2,False
2024-02-27,Коврик для мыши XXL,1190,36,42840,Аксессуары,Москва,Физическое лицо,0,Credit Card,1,False
2024-02-27,Мышь Wireless Gamer,2490,24,59760,Электроника,Новосибирск,Юридическое лицо,0,Bank Transfer,2,False
2024-02-28,Клавиатура Mechanical RGB,5490,10,54900,Электроника,Москва,Физическое лицо,0,Debit Card,3,False
2024-02-29,Монитор 27" 4K,31990,2,63980,Электроника,СПБ,Физическое лицо,0,Credit Card,3,False
2024-03-01,Наушники BassX,3790,30,113700,Аксессуары,Казань,Физическое лицо,5,Debit Card,2,False
2024-03-01,Стул офисный Ergo,12490,4,49960,Мебель,Москва,Юридическое лицо,0,Bank Transfer,4,False
2024-03-02,Ноутбук HeroBook Pro,74990,3,224970,Электроника,Екатеринбург,Физическое лицо,0,Credit Card,4,False
2024-03-02,Подставка для ноутбука,1790,23,41170,Аксессуары,Новосибирск,Физическое лицо,0,Debit Card,1,False
2024-03-03,Стол компьютерный,8890,5,44450,Мебель,Москва,Юридическое лицо,0,Bank Transfer,5,False
2024-03-03,Веб-камера 4K,6790,11,74690,Электроника,СПБ,Физическое лицо,0,Credit Card,2,False
2024-03-04,Коврик для мыши XXL,1190,40,47600,Аксессуары,Казань,Физическое лицо,0,Debit Card,1,False
2024-03-04,Мышь Wireless Gamer,2490,19,47310,Электроника,Москва,Юридическое лицо,0,Bank Transfer,2,False
2024-03-05,Клавиатура Mechanical RGB,5490,12,65880,Электроника,Екатеринбург,Физическое лицо,10,Credit Card,3,False
2024-03-05,Монитор 27" 4K,31990,3,95970,Электроника,Новосибирск,Юридическое лицо,0,Bank Transfer,3,False
2024-03-06,Наушники BassX,3790,26,98540,Аксессуары,Москва,Физическое лицо,0,Debit Card,2,False
2024-03-06,Стул офисный Ergo,12490,6,74940,Мебель,СПБ,Юридическое лицо,0,Credit Card,4,False
2024-03-07,Ноутбук HeroBook Pro,74990,4,299960,Электроника,Казань,Физическое лицо,0,Debit Card,4,False
2024-03-07,Подставка для ноутбука,1790,31,55490,Аксессуары,Москва,Физическое лицо,5,Credit Card,1,False
2024-03-08,Стол компьютерный,8890,4,35560,Мебель,Екатеринбург,Юридическое лицо,0,Bank Transfer,6,False
2024-03-08,Веб-камера 4K,6790,12,81480,Электроника,Новосибирск,Физическое лицо,0,Debit Card,2,False
2024-03-09,Коврик для мыши XXL,1190,44,52360,Аксессуары,Москва,Физическое лицо,0,Credit Card,1,False
2024-03-09,Мышь Wireless Gamer,2490,21,52290,Электроника,СПБ,Юридическое лицо,0,Bank Transfer,2,False
2024-03-10,Клавиатура Mechanical RGB,5490,8,43920,Электроника,Казань,Физическое лицо,0,Debit Card,3,False
2024-03-10,Монитор 27" 4K,31990,5,159950,Электроника,Москва,Юридическое лицо,0,Bank Transfer,3,False
